Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating
PNC,242.72000122070312,-0.0062234041855336875,0.010295994614146832,41.435033082962036,60.0,35.871428571428574,15.51670388203853,20.163719862227328,48.1721418543896,"Volatility_30, Return_10d, Return_5d",40.6,Below Average
TFC,50.099998474121094,-0.005952441322918833,0.011341699182927012,42.810824513435364,59.578947368421055,25.726495726495727,17.54520358868185,20.036052434487363,44.64553568808591,"Momentum_20, Trend_MA50, Volatility_30",38.5,Below Average
SPGI,418.5400085449219,0.01906458876761996,0.017228310346259566,25.915026664733887,60.21052631578948,36.35425101214575,32.70114624797287,31.916609706083385,41.69290898670803,"Volatility_30, Trend_MA50, Volume_MA_Ratio",36.3,Below Average
ICE,157.75,0.0022236729166953406,0.013074504775324576,30.935660004615784,57.894736842105274,37.43093004556419,41.32716065388287,33.72608726317846,39.54507343525757,"Volatility_30, Trend_MA50, Momentum_20",43.4,Below Average
CME,280.4599914550781,0.01785578412419242,0.012585181895673113,30.434787273406982,62.10526315789474,39.38128176171655,24.429541167027264,29.83910349056191,51.65424256275712,"Volume_MA_Ratio, RSI_14, Momentum_20",38.9,Below Average
AON,311.5400085449219,0.029237854016102682,0.022374649926630456,83.91796946525574,63.1578947368421,35.18353576248313,22.22843315184513,26.70934555640438,26.64506278851877,"Trend_MA50, Return_5d, Momentum_20",69.0,Above Average
CB,341.8500061035156,0.010643033565456372,0.009981686386829863,45.9902822971344,58.73684210526316,25.132243487506646,16.045502645502644,18.264207462813733,44.907908484788855,"Trend_MA50, Volatility_30, Momentum_20",39.2,Below Average
PGR,221.02000427246094,0.015623606431212966,0.015446477393490485,52.543872594833374,63.1578947368421,33.03030303030303,25.28626139152455,28.333495005585924,45.09141324032741,"Return_10d, RSI_14, Momentum_20",46.2,Below Average
JNJ,266.32000732421875,0.0027864326732758293,0.012281532059301516,30.79841136932373,57.684210526315795,29.88095238095238,10.646115627822946,14.403839356119311,41.181116300603215,"Trend_MA50, Momentum_20, Volatility_30",33.5,Below Average
PFE,27.719999313354492,0.0,0.013856858126903134,25.80789625644684,64.21052631578948,19.726495726495727,6.696139109932213,9.895810955961332,46.63073039571027,"Trend_MA50, Momentum_20, Return_10d",29.6,Below Average
MRK,144.85000610351562,0.006392089728002759,0.027426403746269732,43.66903305053711,57.05263157894738,41.535005224660395,30.496522496522495,34.43957168407813,39.76753335540545,"Z_Score_20, Volatility_30, Momentum_20",49.4,Below Average
LLY,1138.280029296875,0.020238486253659094,0.02093247686147893,61.29102110862732,53.89473684210526,38.50718954248366,28.006719761075164,31.144102696734272,16.280791293918156,"Trend_MA50, Momentum_20, Volatility_30",59.6,Neutral
ABBV,261.7699890136719,0.01808491748906982,0.014439128125097555,57.76875019073486,60.421052631578945,45.99523809523809,21.087303989740125,27.401960784313722,46.857145049424496,"Volatility_30, Return_10d, Trend_MA50",50.8,Neutral
TMO,613.6199951171875,0.006231326862564668,0.014518740578970934,44.51185464859009,52.21052631578948,29.272486772486776,21.188209639822542,22.965668410386886,41.440214950028825,"Volatility_30, Return_10d, Momentum_20",39.0,Below Average
DHR,203.25,0.015539125711181656,0.01803583607464549,24.289381504058838,55.999999999999986,41.02648102648102,29.955038283526655,32.83734465595415,29.843662396249925,"Trend_MA50, Z_Score_20, Volatility_30",46.1,Below Average
UNH,383.54998779296875,0.011764993796097967,0.013103316060445382,51.97560787200928,57.47368421052632,46.04258744703709,52.79398405635891,45.318414918414916,38.01038646622474,"Trend_MA50, Volatility_30, Momentum_20",55.6,Neutral
CVS,95.55000305175781,0.009402063756782653,0.017241736527693625,51.81533098220825,60.63157894736842,55.919838056680156,25.464494205898017,34.05871776526581,55.74163960278455,"Volatility_30, RSI_14, Trend_MA50",51.9,Neutral
BMY,64.0999984741211,0.007228144074235887,0.015347996813424353,49.20223355293274,54.526315789473685,39.984096341239194,43.832315832315835,40.9857656467826,31.07139580909407,"Trend_MA50, Volatility_30, Z_Score_20",51.7,Neutral
AMGN,381.5,0.010997731096752394,0.025167316467086073,56.53640031814575,58.10526315789474,36.04360165118679,18.815380235578804,24.349893847600917,18.553259381341476,"Momentum_20, Trend_MA50, Volatility_30",56.9,Neutral
GILD,146.41000366210938,0.01871696645253551,0.016716977917808296,45.29397785663605,54.73684210526316,29.381086405854212,18.49688042372374,22.663537971174257,49.28291727039725,"Trend_MA50, RSI_14, Momentum_20",39.8,Below Average
ISRG,377.94000244140625,0.023811482297861675,0.023227107856507147,65.9981906414032,64.63157894736841,40.62627323656736,46.90893901420217,42.40472721385786,52.87386356794509,"Trend_MA50, Volatility_30, Return_5d",55.8,Neutral
MDT,93.80000305175781,0.031222559321352872,0.013788888674690181,49.29631054401398,59.36842105263158,20.912434539033004,12.185185185185183,14.334715197822385,52.795036059554775,"Volatility_30, Momentum_20, Trend_MA50",39.0,Below Average
SYK,281.8699951171875,0.022898815555592478,0.024340547228480704,51.195305585861206,58.73684210526316,29.08249158249158,30.36371036371036,27.307372144498693,25.129921108942085,"Volatility_30, Trend_MA50, Return_10d",53.6,Neutral
BSX,45.04999923706055,0.04816192919662643,0.027129684388576863,52.796804904937744,53.684210526315795,31.617391304347827,34.75205254515599,29.799844428068457,37.09256835123473,"Volatility_30, Z_Score_20, Trend_MA50",49.2,Below Average
CI,290.04998779296875,0.03308867967022411,0.01574250650650096,36.104658246040344,61.263157894736835,34.274974812059206,19.618394655159364,23.9177054908558,60.55870099635213,"Momentum_20, Trend_MA50, Volatility_30",33.9,Below Average
ZTS,73.66999816894531,0.00959294143527556,0.023241805922110753,31.57474398612976,56.84210526315788,21.896145044886463,22.183512544802863,21.69607110407938,34.09090909090909,"Volatility_30, Return_10d, Trend_MA50",37.7,Below Average
VRTX,519.510009765625,0.007896180554363141,0.01970489167333404,52.17897295951843,58.526315789473685,41.039449112978524,22.338345864661655,26.535865568123633,32.78566826239131,"Trend_MA50, Momentum_20, Return_5d",51.8,Neutral
REGN,793.739990234375,0.01567518477917562,0.016793819818009877,44.67273652553558,56.421052631578945,35.44755244755245,19.082186530462394,22.525665324172788,40.60845164813998,"Momentum_20, Volatility_30, RSI_14",41.4,Below Average
PG,146.1300048828125,0.005920015041361193,0.009411122283011136,51.82881951332092,60.210526315789465,29.42617626760849,39.01417205835585,33.31038908879365,48.57142592118493,"Trend_MA50, Volatility_30, RSI_14",45.1,Below Average
KO,89.3499984741211,0.012005861905108883,0.008708179974593045,24.82597678899765,62.52631578947368,26.5321752596408,18.62265558397272,20.224162672309795,36.307056240671,"Volatility_30, Z_Score_20, Momentum_20",37.1,Below Average
PEP,136.33999633789062,0.00014663301494932668,0.009434326056543577,42.67062544822693,64.84210526315789,29.67537892349922,19.237711213517663,20.114557084706338,20.606905760543583,"Z_Score_20, Volatility_30, Return_10d",50.5,Neutral
COST,918.9099731445312,0.01562822961420296,0.010921749025943398,56.303948163986206,56.210526315789465,28.09523809523809,24.683062509149465,24.377312567706355,25.510842754572806,"Trend_MA50, Momentum_20, Volatility_30",54.4,Neutral
WMT,109.08000183105469,0.018012135116112438,0.02054410529835562,46.5278685092926,59.578947368421055,47.55555555555556,24.89877769289534,30.77123929860801,58.25368012646613,"Trend_MA50, Momentum_20, Volatility_30",47.0,Below Average
HD,310.8699951171875,0.006899024908291196,0.01498418227375783,36.84842884540558,62.736842105263165,30.381818181818183,24.28740266963292,25.194198434090616,21.708568196446336,"Volatility_30, Trend_MA50, Z_Score_20",48.7,Below Average
MCD,257.489990234375,0.01964119700255096,0.012096189470452899,51.11473202705383,65.6842105263158,26.97089270490805,28.928571428571427,26.413456158501607,28.555115586752464,"Trend_MA50, Return_5d, Return_10d",54.3,Neutral
NKE,37.04999923706055,0.006793478401712294,0.019043816897184415,70.35196423530579,64.63157894736841,39.0357749211739,29.071688446688448,31.334765485141425,27.383869807898847,"Trend_MA50, Volatility_30, RSI_14",65.5,Above Average
SBUX,99.06999969482422,0.0033421292099882205,0.013673774056141954,44.040292501449585,63.36842105263158,57.31818181818183,19.865800865800864,26.37384370015949,25.02963972573977,"Trend_MA50, Z_Score_20, Return_5d",58.6,Neutral
LOW,198.1699981689453,0.00685901226750163,0.014649741988609532,32.00975060462952,62.94736842105262,28.20779220779221,11.738664843928001,16.364602022924927,22.18278775975145,"Trend_MA50, Momentum_20, Return_5d",44.9,Below Average
TGT,158.6999969482422,0.018417474706180492,0.019431995940431084,53.88954281806946,56.63157894736842,31.481481481481477,18.493871415356153,22.440463645943094,31.31884927771624,"Momentum_20, Return_10d, Z_Score_20",49.1,Below Average
EL,98.22000122070312,0.011326178367100592,0.03599501994640282,58.01514387130737,48.0,36.32804232804233,35.545767021376776,35.133870390261364,36.4883509590814,"Volatility_30, Trend_MA50, RSI_14",52.2,Neutral
CL,87.88999938964844,0.012557561054930666,0.011344236387084025,34.775760769844055,58.526315789473685,16.647116324535677,17.56876456876457,16.430019305019307,24.78350331598277,"Trend_MA50, Volatility_30, Momentum_20",42.2,Below Average
KMB,99.08999633789062,0.009577124782457425,0.01702053501091555,66.49476885795593,60.421052631578945,28.41722793335697,37.11149853113146,29.834673060569138,16.953686111500062,"Momentum_20, Volatility_30, Return_10d",60.3,Above Average
GIS,36.470001220703125,0.01729435907869248,0.019528729903837975,43.70877742767334,65.26315789473685,26.666666666666664,20.128700128700125,16.83861003861004,25.89384978446762,"Volatility_30, Trend_MA50, RSI_14",49.7,Below Average
KHC,24.600000381469727,0.008610126981406063,0.018815988557724636,23.840180039405823,61.89473684210526,32.61274509803921,21.68079967742997,25.300876428816554,39.52992010329025,"Volatility_30, Trend_MA50, RSI_14",38.9,Below Average
MO,70.61000061035156,0.02362999672504551,0.015804069911737807,50.84965229034424,57.684210526315795,36.01665001665002,30.008636350099767,30.431975901776866,61.215919669105304,"Trend_MA50, Volatility_30, RSI_14",40.4,Below Average
PM,194.86000061035156,0.01988905631903637,0.014274953340610604,52.12885141372681,55.789473684210535,33.93764900501144,27.41888544891641,27.928411930311675,55.4944897780031,"RSI_14, Trend_MA50, Return_5d",44.7,Below Average
MDLZ,62.38999938964844,-0.0008007565368388647,0.01131734437734891,34.78926122188568,55.36842105263158,30.902145473574045,51.04682101673622,37.32051078756241,31.98128714273642,"Volatility_30, Return_10d, RSI_14",43.3,Below Average
MNST,44.20000076293945,0.018433161496169914,0.017188623771799187,36.98646128177643,58.526315789473685,38.12631578947368,21.84123972169513,27.58433060210654,19.58763900174857,"Volatility_30, Trend_MA50, Momentum_20",50.2,Neutral
XOM,165.0800018310547,-0.005482279848149307,0.015312560097314238,32.10364878177643,52.8421052631579,41.69230769230769,14.727641153173067,19.57406129607268,51.82429751762355,"Trend_MA50, Z_Score_20, Return_10d",36.8,Below Average
CVX,212.1699981689453,-0.00882929744559624,0.01449505924371246,64.44644927978516,53.684210526315795,42.33006759322548,22.144565768127666,24.31852648583604,65.87413415681026,"Trend_MA50, Volatility_30, Momentum_20",45.7,Below Average
COP,136.6699981689453,-0.004950913027683579,0.016178181259267187,52.73576378822327,56.63157894736842,51.76108765966778,29.617206905526523,31.73424723424723,59.11083716407873,"Trend_MA50, Volatility_30, Z_Score_20",50.1,Neutral
