Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating
SAP.DE,185.75999450683594,0.022344510879382495,0.02230289512147362,30.58359920978546,52.5,44.998778998778995,40.757921638490245,33.67984618200321,49.841987046898936,"Trend_MA50, RSI_14, Volatility_30",39.0,Below Average
SIE.DE,264.8999938964844,-0.027889930655103257,0.016553150644915093,33.43870937824249,63.33333333333333,47.99719887955182,25.770749575627626,30.60153468822199,37.18647082158556,"Trend_MA50, Volatility_30, Return_10d",47.6,Below Average
ALV.DE,438.70001220703125,-0.015042617380480405,0.009074452298501672,40.80680012702942,65.20833333333333,52.14348151848152,32.37121470209705,36.90868421430372,50.66667906747473,"Momentum_20, Trend_MA50, Return_5d",47.9,Below Average
BAS.DE,53.7599983215332,0.0016769173776489676,0.012410584707605324,51.01887583732605,58.958333333333336,35.28959810874704,23.061439414475466,25.486559534491665,70.14314098868618,"Trend_MA50, Volatility_30, Momentum_20",34.8,Below Average
BAYN.DE,49.16999816894531,-0.004857350317910791,0.011597895503456123,44.789919257164,47.708333333333336,35.46975546975547,23.6808856030824,27.53333333333334,51.470587204071634,"Volatility_30, Trend_MA50, RSI_14",40.5,Below Average
BMW.DE,63.20000076293945,-0.007849293469567753,0.015954624110527536,35.441985726356506,54.791666666666664,25.727064744909633,21.01812166328295,20.207571066704197,68.55827606170095,"Volatility_30, Trend_MA50, Momentum_20",29.6,Below Average
DBK.DE,35.154998779296875,-0.01664339078889865,0.012073051030073738,57.25358724594116,50.0,35.30256121587391,18.43555721692001,23.004791818351144,73.01441389705421,"Volatility_30, Trend_MA50, Z_Score_20",35.2,Below Average
DTE.DE,28.329999923706055,0.002831855706409092,0.019246644916201837,53.43361496925354,64.16666666666667,43.31797235023042,25.23774460695919,30.2035681769255,36.59307037626467,"Return_5d, Trend_MA50, Volatility_30",54.6,Neutral
ADS.DE,147.0500030517578,-0.005410909832480493,0.026874860289510496,84.78181958198547,53.125,33.08780665513084,42.210705423608644,36.41405993835662,34.44641160976755,"Volatility_30, Z_Score_20, Momentum_20",63.3,Above Average
IFX.DE,57.9900016784668,-0.007869958570887126,0.032549089759310805,50.26494264602661,48.33333333333333,45.27439785905441,32.6587951122478,36.08475269023214,63.33038924775798,"Volatility_30, RSI_14, Z_Score_20",41.5,Below Average
LIN.DE,401.6000061035156,-0.007414730486268062,0.01384872898588359,23.51018190383911,65.0,45.179487179487175,34.368700265251995,32.3561117750319,39.694660934327764,"Momentum_20, Trend_MA50, Volatility_30",43.6,Below Average
MRK.DE,131.5500030517578,-0.022659754186134085,0.01115509163198212,50.04708170890808,64.16666666666667,25.351369373660393,19.678405678405678,21.81307653373542,27.02706882419956,"Trend_MA50, Z_Score_20, RSI_14",52.5,Neutral
MUV2.DE,497.5,-0.009753172683146905,0.011763296067965718,59.28594470024109,56.45833333333333,37.141843971631204,42.43434343434343,37.0574078016701,35.23312566543332,"Trend_MA50, Volatility_30, Return_5d",54.9,Neutral
RWE.DE,60.41999816894531,0.019574753295100944,0.012633391182972603,64.73100185394287,61.041666666666664,57.13272543059777,28.44723144675938,31.506991258255493,73.44634473037935,"Return_10d, Trend_MA50, Volatility_30",47.1,Below Average
VOW3.DE,82.13999938964844,-0.011552335765344424,0.021479923852915663,39.703452587127686,54.166666666666664,32.54528985507246,22.188484030589294,23.876458494506092,65.7463446038638,"RSI_14, Volatility_30, Trend_MA50",33.4,Below Average
ZAL.DE,23.079999923706055,-0.01240911018884061,0.03220903875868227,68.17153096199036,57.083333333333336,40.880591630591624,16.095267613756995,22.791863530993968,54.59364064766238,"Trend_MA50, Momentum_20, Volume_MA_Ratio",52.3,Neutral
HEN3.DE,75.0199966430664,-0.01211490346013222,0.01134569421409217,47.04018235206604,62.708333333333336,37.4838863001723,35.32051282051282,32.37718066148447,46.630726931358055,"Return_10d, Trend_MA50, Volatility_30",45.6,Below Average
FRE.DE,44.630001068115234,-0.001230844880507398,0.012917060206151342,59.63714122772217,57.291666666666664,37.93510582984267,31.525161788853474,31.651754425886317,32.90924056743573,"Trend_MA50, Return_5d, Return_10d",54.5,Neutral
FME.DE,38.59000015258789,-0.005155987579762988,0.016551641815660816,65.14497995376587,63.541666666666664,55.23809523809524,28.94032356532357,34.701697402372574,22.14291098966673,"Volatility_30, Z_Score_20, Trend_MA50",67.8,Above Average
HEI.DE,159.1999969482422,-0.01698054987230946,0.017461043089305208,69.57546472549438,54.166666666666664,45.54010333671351,42.14807987711213,37.69899694347582,51.82766739839763,"Momentum_20, Volatility_30, Trend_MA50",55.7,Neutral
CON.DE,70.0999984741211,-0.01517282700792788,0.015611781478869997,46.98174297809601,61.875,55.68376068376068,24.550805747400172,31.15848288865401,61.63522238916529,"Momentum_20, RSI_14, Trend_MA50",44.8,Below Average
AIR.DE,196.5800018310547,-0.0207720954866516,0.013864019589184012,63.31365704536438,60.833333333333336,57.34920634920634,14.245272271588059,19.344446368154898,28.80474461340134,"Trend_MA50, Volatility_30, RSI_14",64.7,Above Average
MTX.DE,349.79998779296875,-0.01464792170994722,0.014342207478404683,36.345818638801575,60.833333333333336,49.61245710688826,28.537226882054473,35.31541218637993,38.35022397937349,"Volatility_30, Momentum_20, Trend_MA50",49.4,Below Average
PUM.DE,22.940000534057617,-0.008214381046379948,0.015531199580366098,63.583940267562866,59.16666666666667,47.61076604554866,12.850396072407458,17.724557820983,25.88455467516839,"Volatility_30, Trend_MA50, RSI_14",61.8,Above Average
MC.PA,417.04998779296875,-0.0222717155594222,0.01529651043115342,60.0010871887207,54.84536082474227,32.642857142857146,14.708168864927313,17.97803163155667,30.35802995802331,"Volatility_30, Trend_MA50, Z_Score_20",50.8,Neutral
OR.PA,383.3999938964844,-0.012364807211770468,0.01283250948096483,59.29536819458008,64.12371134020619,32.002886002886,18.113512368239846,22.055522259435527,50.744965671078916,"Volatility_30, Momentum_20, Return_10d",47.9,Below Average
TTE.PA,78.7300033569336,0.012604544783711757,0.014241070173365468,32.58924186229706,59.38144329896907,41.01753393665159,20.60583692936634,25.10016835016835,53.885253340558265,"Trend_MA50, Volatility_30, Return_10d",38.9,Below Average
SAN.PA,73.95999908447266,-0.009906263641245583,0.01932370296666232,51.3788640499115,60.618556701030926,19.188034188034187,11.008158508158507,13.255411255411255,23.004741500893232,"Z_Score_20, Trend_MA50, Volatility_30",49.5,Below Average
AIR.PA,196.60000610351562,-0.020428454943045682,0.013779836956304367,73.99327158927917,60.824742268041234,45.11965811965812,21.27133584809338,25.519031018886132,28.630110536415174,"RSI_14, Volatility_30, Momentum_20",66.9,Above Average
BNP.PA,102.4800033569336,-0.013477030549674085,0.01416472690362154,54.85343933105469,57.52577319587628,52.1025641025641,25.119817380686946,32.95845557799872,38.09524413019996,"Trend_MA50, Momentum_20, Volatility_30",56.4,Neutral
GLE.PA,74.1500015258789,-0.0025557549283181658,0.018541936364854177,70.04945278167725,53.19587628865979,57.92987377279102,23.03396860059162,30.4411508282476,37.46725018856961,"Trend_MA50, Z_Score_20, Volatility_30",62.7,Above Average
ACA.PA,18.469999313354492,-0.01097723866565048,0.013408451888405875,53.49435210227966,58.35051546391753,48.32072829131652,23.86154375138463,28.861223693088466,31.853770817708536,"Trend_MA50, Return_10d, Volatility_30",54.5,Neutral
ENGI.PA,24.399999618530273,0.011608572535430017,0.013453751334718567,64.60267305374146,64.94845360824742,44.60330732069862,28.461609818752674,34.2330950290564,37.99998188017934,"Volatility_30, Trend_MA50, Return_10d",60.1,Above Average
RI.PA,60.7400016784668,0.00032938829646878,0.015569106096673953,26.508814096450806,60.20618556701031,25.82096440108611,20.236093934599523,22.200371057513912,24.481329223872834,"Return_10d, Volatility_30, Trend_MA50",42.4,Below Average
KER.PA,240.10000610351562,-0.017594058512088173,0.03713589498501267,72.36234545707703,57.113402061855666,32.58064516129032,9.819891174860748,13.425554837319543,31.780818329072943,"Volatility_30, RSI_14, Return_5d",55.5,Neutral
CAP.PA,102.8499984741211,-0.025580336329433684,0.02455357037778209,68.06520819664001,58.76288659793814,32.04998704998705,14.40785546224338,19.033885800168356,36.11111111111111,"Trend_MA50, Volatility_30, Volume_MA_Ratio",54.8,Neutral
SU.PA,294.1000061035156,-0.018357810039895894,0.02597077498710882,30.612024664878845,59.38144329896907,46.911184244784884,37.32913165266106,37.84589610254848,50.09191728173923,"Trend_MA50, RSI_14, Return_10d",41.5,Below Average
DG.PA,113.55000305175781,-0.008296916578534375,0.014685104490673324,60.098856687545776,60.61855670103093,37.54966460268317,37.92353621935511,35.51111111111111,29.268289278970443,"Momentum_20, Trend_MA50, Return_10d",60.9,Above Average
EL.PA,148.14999389648438,-0.009692594571339197,0.016035653108120676,16.514238715171814,57.52577319587628,27.212560386473434,26.416568017209556,20.972542115076237,21.771234333712272,"Trend_MA50, RSI_14, Volatility_30",38.1,Below Average
VIE.PA,32.09000015258789,0.004381827427398122,0.012938408214724322,68.72329115867615,61.23711340206186,30.178571428571427,17.02447958545519,16.921054793395218,22.03385173084135,"Trend_MA50, Volatility_30, Return_10d",59.8,Neutral
ORA.PA,15.34000015258789,-0.0019518369027040627,0.014535002319929947,61.39761209487915,55.4639175257732,26.679717586649552,18.08116883116883,16.471039026792816,29.797974932785152,"Return_10d, Volatility_30, Trend_MA50",54.8,Neutral
HO.PA,228.8000030517578,-0.01675975052699219,0.013544302513519636,76.40213966369629,53.608247422680414,28.035007057874573,24.013610991341636,25.109179000464593,0.0,"Volatility_30, Volume_MA_Ratio, Trend_MA50",62.1,Above Average
ML.PA,33.869998931884766,-0.022792871292708017,0.01103806482391088,57.908421754837036,55.25773195876288,29.894337854559865,27.350172618405434,25.66434070652111,48.06336964011557,"Volatility_30, Trend_MA50, Momentum_20",45.5,Below Average
LR.PA,143.0,-0.021553157906496145,0.017460275434177244,57.1069061756134,56.08247422680413,31.497066394125216,34.875516956162116,30.132155426273073,63.51573349420419,"Volatility_30, Trend_MA50, Return_10d",41.5,Below Average
WLN.PA,13.868000030517578,-0.023242704942246895,0.054502537851593175,19.223155081272125,52.989690721649495,38.586021505376344,33.709109730848866,29.95769230769231,65.51216075422504,"Trend_MA50, Volatility_30, Return_5d",27.4,Below Average
