pick_date,market,Ticker,pick_prob_up,pick_score,start_close,end_close_5d,forward_return_5d_pct,hit,rating
2026-03-24,core,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-24,ftse,FRES.L,73.8390564918518,72.8,3200.0,,,,Strong Buy
2026-03-24,ftse,SVT.L,83.39670896530151,71.0,2919.0,,,,Strong Buy
2026-03-24,ftse,SHC.L,79.59739565849304,70.9,127.0999984741211,,,,Strong Buy
2026-03-24,us,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-24,us,GILD,73.30408096313477,72.6,138.11000061035156,,,,Strong Buy
2026-03-24,us,XPO,87.07862496376038,74.8,186.3300018310547,,,,Strong Buy
2026-03-25,core,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,ftse,FRES.L,73.8390564918518,72.8,3200.0,,,,Strong Buy
2026-03-25,ftse,SVT.L,83.39670896530151,71.0,2919.0,,,,Strong Buy
2026-03-25,ftse,SHC.L,79.59739565849304,70.9,127.0999984741211,,,,Strong Buy
2026-03-25,us,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,GILD,73.30408096313477,72.6,138.11000061035156,,,,Strong Buy
2026-03-25,us,XPO,87.07862496376038,74.8,186.3300018310547,,,,Strong Buy
2026-03-25,core,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,GILD,73.30408096313477,72.6,138.11000061035156,,,,Strong Buy
2026-03-25,us,XPO,87.07862496376038,74.8,186.3300018310547,,,,Strong Buy
2026-03-25,core,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,GILD,73.30408096313477,72.6,138.11000061035156,,,,Strong Buy
2026-03-25,us,XPO,87.07862496376038,74.8,186.3300018310547,,,,Strong Buy
2026-03-25,core,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,GILD,73.30408096313477,72.6,138.11000061035156,,,,Strong Buy
2026-03-25,us,XPO,87.07862496376038,74.8,186.3300018310547,,,,Strong Buy
2026-03-25,core,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,NVDA,88.08431029319763,70.0,175.1999969482422,,,,Strong Buy
2026-03-25,us,GILD,73.30408096313477,72.6,138.11000061035156,,,,Strong Buy
2026-03-25,us,XPO,87.07862496376038,74.8,186.3300018310547,,,,Strong Buy
2026-03-25,ftse,SHC.L,80.84591627120972,70.2,129.1999969482422,,,,Strong Buy
2026-03-25,us,BILL,76.36681795120239,73.5,38.310001373291016,,,,Strong Buy
2026-03-25,us,MCO,85.640949010849,74.1,428.45001220703125,,,,Strong Buy
