Ticker
AAPL
MSFT
GOOGL
AMZN
META
NVDA
TSLA
AMD
NFLX
INTC
AVGO
ORCL
CRM
ADBE
NOW
QCOM
TXN
AMAT
MU
PANW
UBER
SHOP
PLTR
COST
WMT
JPM
V
MA
BRK-B
LLY
UNH
XOM
CVX
PEP
KO
ABBV
JNJ
BAC
GS
HD
MCD
NKE
DIS
CAT
GE
IBM
MRK
TMO
AXP
BKNG
